epoch,loss_d,loss_g,d_x,d_gz
0,0.6260634847842824,0.948105114500236,0.16150096956166485,-0.17752949641291005
1,0.6156459852405216,0.9996729788115567,0.1978702880924477,-0.20797136525654464
2,0.5773095880323054,1.1547125752472207,0.3055254233491314,-0.31687860282392855
3,0.5292135875319581,1.3249462966418937,0.4591902605480636,-0.46407234757636073
4,0.4804537195302641,1.5021404036323127,0.6280825094789114,-0.6299565024078464
5,0.4497229798751719,1.628659254373492,0.7564406965518623,-0.7522020534757534
6,0.41385078483530324,1.7568219680615398,0.89451028964699,-0.8892683987327091
7,0.3901501268034091,1.8859520910493552,1.0132744242210903,-1.0020006623004785
8,0.3666735727844946,1.9720595900512412,1.1176623094450597,-1.0975146437125742
9,0.34639927009334953,2.069797694987958,1.231154404537719,-1.1974572876058613
10,0.33091082084742957,2.1805975402864957,1.3096828003654548,-1.286685117968189
11,0.33031535320117345,2.234976613917924,1.369263674744674,-1.3418396446387024
12,0.3145922503965285,2.2966228523827574,1.4366378867069778,-1.3979386218711543
13,0.3181166688880652,2.3253656708066117,1.4491688821874464,-1.4157859436462603
14,0.30935997453034686,2.3807573641657522,1.4899173433775716,-1.447480286936016
15,0.30010931224316895,2.4578021760182,1.5614532888497767,-1.5188828460548236
16,0.28621392306464405,2.579041356092219,1.645288615270763,-1.618310635273471
17,0.27927078944071176,2.5930692505501116,1.7074421318509923,-1.6594018919603026
18,0.2631316394699961,2.658356700406965,1.7812960858163818,-1.7205726621562945
19,0.2629234499543372,2.755323988092525,1.8173025987680307,-1.782283799103497
20,0.2623194063087101,2.763083692096993,1.845298997824416,-1.7944115206046636
21,0.2493127860043131,2.846203076565052,1.9187040392242733,-1.8633308408095899
22,0.24728110576015147,2.8881537210758386,1.9700636745613935,-1.9021946567818142
23,0.25205495784445037,2.9004232175362383,1.9650978295232557,-1.9025513089602561
24,0.2493363519144409,2.9544667658750967,2.007191584706354,-1.9370980087686758
25,0.2498533208342388,2.9887831345238647,2.037927349100409,-1.9794517813364754
26,0.2347539188697591,2.932207465476697,2.081758418656371,-1.9912416050675066
27,0.23789878031882025,3.024268142631292,2.1018552942072875,-2.029149752372252
28,0.23287685871448205,3.0307986687516313,2.146484074952162,-2.053803194085579
29,0.22150460134743882,3.1528767223095957,2.2351234986796937,-2.1599967377093594
30,0.22160174466116958,3.2500673959322293,2.265175999721031,-2.194785480456584
31,0.2280608162884136,3.1860694174114093,2.2243756264319545,-2.179702084759236
32,0.20956248658306686,3.2861850224340055,2.339082524571044,-2.247545462120753
33,0.21645058525721436,3.2606247886824793,2.3301229547147098,-2.2659957355074107
34,0.2038473872386891,3.3555452144511824,2.410578213155727,-2.313177789644817
35,0.20594495290513995,3.452173802706287,2.49032004959786,-2.4274368135882614
36,0.20819988152217073,3.322142372427084,2.4138847070572247,-2.3406344012635976
37,0.2067510997662154,3.4455290933704132,2.448480184504386,-2.407616961718825
38,0.2018656731938081,3.4587282069656244,2.5098605217350185,-2.4510081027398636
39,0.19257838633911842,3.4298583211191476,2.5372086278760753,-2.414837248694828
40,0.19160024982536464,3.58108353896824,2.6612263295866185,-2.550437693641333
41,0.17727185245079305,3.6267571703857167,2.6952560087451545,-2.601566795955229
42,0.16789435178441617,3.732879073952165,2.9075207484366796,-2.734122809213217
43,0.17980121272494612,3.9018060526884426,2.8769101610959833,-2.798807073822793
44,0.1755702058687006,3.9088085385234765,2.8014729387029207,-2.8325375672048696
45,0.16466337055339456,3.910735065331849,2.971563678406312,-2.8548836465746334
46,0.17454056972709228,3.843307837043577,2.935271012070386,-2.8067020935952054
47,0.16885380310666226,3.870048741550397,2.9180583942900684,-2.85429155765592
48,0.16417448083296074,3.933363580490317,2.980394679662364,-2.882248961654923
49,0.17126653914142143,3.918637846665614,2.937083589932536,-2.834223573817812
50,0.1667101390926582,3.963405210724877,2.9908771012931146,-2.910868678985121
51,0.1665601238710782,3.9977798033553316,2.9931575145448566,-2.9601163745517165
52,0.16481883665713506,3.9348390152692185,3.0641534285395955,-2.943729248374243
53,0.15306424462448454,4.142599364985591,3.1619118018566494,-3.0951042631688668
54,0.1538001409102984,4.083330251676652,3.13484772269988,-3.06628766933175
55,0.1496467675592112,4.144331941061922,3.1988081113933147,-3.11492693954912
56,0.1481690765370417,4.219560908691962,3.315545467397822,-3.1676278791445145
57,0.1469969899986711,4.194401146734462,3.2821327624818704,-3.1622493538691105
58,0.1610829670070325,4.140822977513609,3.218915152384916,-3.066898113426269
59,0.1524077838184336,4.078166772185079,3.234874018413179,-3.093109964686053
60,0.14601037213983742,4.137671733603758,3.2541876421083726,-3.1364040352651834
61,0.1478404640357065,4.392462605176984,3.3765571343824456,-3.309459711746563
62,0.14529793378789826,4.393456929327582,3.362285343077405,-3.293102583159571
63,0.13347619469098917,4.451653007198782,3.450508333078069,-3.385414359176441
64,0.14793786024341307,4.373528533122119,3.3566324029336956,-3.3161398024605515
65,0.14202822817732458,4.297453468412999,3.4201504963038065,-3.2821154238756205
66,0.13525449327738656,4.391141134759654,3.5530153049913515,-3.3750070911996506
67,0.14642692925622852,4.38189307868938,3.443471937428426,-3.32175812767366
68,0.14760020389543166,4.22649188511207,3.4465875052120487,-3.24165955043929
69,0.13634893095509037,4.5809564289382045,3.583492270916167,-3.4866972722379903
70,0.13088625258601763,4.572014480143252,3.6724352073353117,-3.531653166584232
71,0.13897051542188704,4.53760114716142,3.70419178200919,-3.483045392634009
72,0.13146165625401832,4.631340485856966,3.669161052169169,-3.5533301064511167
73,0.1341298591289574,4.659667269653067,3.6815260079929897,-3.582382003193164
74,0.1276488091357176,4.506837057792927,3.718146114269524,-3.508683503026624
75,0.12008872421344033,4.71801698486061,3.8960685896141753,-3.689784965635089
76,0.11580716250815651,4.914112317135267,3.947127596525204,-3.8516000423990095
77,0.12797512425183583,4.895848249078102,3.905690757876924,-3.8042990933160494
78,0.12239162704807317,4.654077150937542,3.865161217482346,-3.6606219100868307
79,0.11529518788873368,4.790737118714911,3.9008285386149613,-3.762229219898391
